ID,Data Center,App,Entry Time,WAN Duration
246,DC1,SES,1510599139100,254
247,DC1,SES,1510599139101,253
253,DC1,SES,1510599139106,248
230,DC1,SES,1510599139087,267
258,DC1,SES,1510599139110,245
259,DC1,SES,1510599139111,244
265,DC1,SES,1510599139115,240
242,DC1,SES,1510599139097,258
271,DC1,SES,1510599139119,237
260,DC1,SES,1510599139111,245
277,DC1,SES,1510599139123,233
254,DC1,SES,1510599139106,250
283,DC1,SES,1510599139127,229
266,DC1,SES,1510599139116,240
289,DC1,SES,1510599139131,226
272,DC1,SES,1510599139120,237
295,DC1,SES,1510599139135,222
278,DC1,SES,1510599139124,233
290,DC1,SES,1510599139132,225
284,DC1,SES,1510599139128,230
305,DC1,SES,1510599139142,216
291,DC1,SES,1510599139132,226
300,DC1,SES,1510599139138,220
296,DC1,SES,1510599139136,222
317,DC1,SES,1510599139150,208
301,DC1,SES,1510599139139,220
312,DC1,SES,1510599139147,212
306,DC1,SES,1510599139143,216
329,DC1,SES,1510599139159,200
313,DC1,SES,1510599139148,211
324,DC1,SES,1510599139155,205
318,DC1,SES,1510599139151,209
325,DC1,SES,1510599139156,204
331,DC1,SES,1510599139160,201
337,DC1,SES,1510599139163,198
330,DC1,SES,1510599139159,202
336,DC1,SES,1510599139163,200
342,DC1,SES,1510599139167,196
343,DC1,SES,1510599139168,194
348,DC1,SES,1510599139172,191
349,DC1,SES,1510599139173,191
354,DC1,SES,1510599139176,188
355,DC1,SES,1510599139177,187
361,DC1,SES,1510599139180,184
350,DC1,SES,1510599139173,191
366,DC1,SES,1510599139183,181
367,DC1,SES,1510599139184,181
373,DC1,SES,1510599139188,177
362,DC1,SES,1510599139181,184
379,DC1,SES,1510599139192,174
378,DC1,SES,1510599139191,175
8,DC1,SES,1510599138859,507
374,DC1,SES,1510599139189,177
385,DC1,SES,1510599139198,168
380,DC1,SES,1510599139193,173
391,DC1,SES,1510599139203,163
397,DC1,SES,1510599139207,160
386,DC1,SES,1510599139199,168
401,DC1,SES,1510599139210,157
392,DC1,SES,1510599139204,163
398,DC1,SES,1510599139208,160
407,DC1,SES,1510599139215,153
413,DC1,SES,1510599139220,149
402,DC1,SES,1510599139211,158
419,DC1,SES,1510599139226,143
425,DC1,SES,1510599139230,140
408,DC1,SES,1510599139216,154
414,DC1,SES,1510599139221,149
420,DC1,SES,1510599139226,146
2,DC1,SES,1510599138836,536
437,DC1,SES,1510599139238,134
17,DC1,SES,1510599138875,497
421,DC1,SES,1510599139227,145
432,DC1,SES,1510599139235,137
11,DC1,SES,1510599138866,506
426,DC1,SES,1510599139231,141
449,DC1,SES,1510599139246,127
29,DC1,SES,1510599138894,479
433,DC1,SES,1510599139236,137
444,DC1,SES,1510599139243,130
23,DC1,SES,1510599138886,487
438,DC1,SES,1510599139239,134
450,DC1,SES,1510599139247,126
30,DC1,SES,1510599138895,478
456,DC1,SES,1510599139251,123
35,DC1,SES,1510599138902,472
462,DC1,SES,1510599139255,119
42,DC1,SES,1510599138911,463
